id,step
1,32
2,10
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,19
11,18
12,24
13,0
14,0
15,5
16,4
17,18
18,0
19,15
20,21
21,0
22,5
23,15
24,16
25,14
26,16
27,7
28,0
29,0
30,0
31,28
32,11
33,13
34,3
35,11
36,8
37,0
38,2
39,0
40,18
41,0
42,20
43,0
44,27
45,5
46,20
47,6
48,6
49,0
50,0
51,31
52,4
53,24
54,32
55,3
56,0
57,0
58,2
59,12
60,14
61,12
62,9
63,14
64,0
65,22
66,0
67,4
68,0
69,0
70,13
71,10
72,0
73,0
74,0
75,0
76,10
77,5
78,2
79,6
80,5
81,15
82,0
83,3
84,3
85,0
86,19
87,0
88,16
89,4
90,20
91,8
92,0
93,7
94,0
95,12
96,25
97,6
98,22
99,0
100,5
101,16
102,0
103,18
104,10
105,18
106,8
107,0
108,11
109,0
110,0
111,0
112,10
113,0
114,11
115,0
116,0
117,0
118,2
119,15
120,22
121,5
122,0
123,12
124,0
125,0
126,6
127,5
128,0
129,11
130,0
131,17
132,19
133,6
134,0
135,0
136,0
137,6
138,0
139,0
140,0
141,12
142,7
143,2
144,0
145,15
146,0
147,0
148,0
149,4
150,0
151,0
152,0
153,12
154,2
155,0
156,13
157,0
158,4
159,0
160,0
161,0
162,5
163,8
164,11
165,0
166,11
167,0
168,0
169,0
170,0
171,19
172,12
173,11
174,0
175,8
176,3
177,0
178,0
179,0
180,0
181,12
182,6
183,12
184,18
185,0
186,0
187,4
188,15
189,2
190,11
191,0
192,26
193,3
194,0
195,12
196,0
197,0
198,0
199,4
200,0
201,0
202,0
203,0
204,27
205,0
206,0
207,0
208,7
209,2
210,10
211,9
212,15
213,5
214,7
215,0
216,0
217,3
218,23
219,16
220,0
221,9
222,0
223,33
224,5
225,0
226,17
227,2
228,0
229,20
230,8
231,0
232,0
233,14
234,0
235,0
236,0
237,0
238,4
239,0
240,0
241,6
242,4
243,0
244,0
245,0
246,0
247,3
248,0
249,0
250,0
251,0
252,7
253,0
254,0
255,0
256,0
257,0
258,7
259,0
260,0
261,0
262,0
263,8
264,0
265,8
266,0
267,12
268,4
269,0
270,0
271,0
272,2
273,7
274,0
275,7
276,13
277,10
278,0
279,3
280,0
281,0
282,0
283,5
284,16
285,0
286,3
287,0
288,14
289,0
290,0
291,0
292,0
293,0
294,16
295,0
296,21
297,15
298,13
299,0
300,0
301,3
302,10
303,0
304,18
305,3
306,0
307,12
308,0
309,0
310,0
311,0
312,9
313,10
314,2
315,17
316,0
317,0
318,21
319,0
320,12
321,3
322,0
323,0
324,0
325,9
326,0
327,10
328,6
329,0
330,0
331,0
332,0
333,0
334,0
335,3
336,4
337,0
338,0
339,0
340,0
341,0
342,0
343,12
344,6
345,5
346,7
347,0
348,0
349,12
350,0
351,4
